Model Number,Number of Hidden Layers,Full Accuracy,Reduced Accuracy,Full AUC,Reduced AUC,Full Loss,Reduced Loss,Full Precision,Reduced Precision,Full Recall,Reduced Recall
Model 1,3,0.8427,0.8418,0.9302,0.9268,0.3461,0.3486,0.8886,0.8271,0.7721,0.8150
Model 2,4,0.8486,0.8454,0.9303,0.9277,0.3439,0.3425,0.8361,0.8379,0.8549,0.8446
Model 3,2,0.8483,0.8464,0.9308,0.9280,0.3349,0.3421,0.8481,0.8496,0.8366,0.8300
Model 4,5,0.8452,0.8432,0.9305,0.9271,0.3413,0.3492,0.8753,0.8311,0.7935,0.8489
Model 5,5,0.8455,0.8449,0.9305,0.9279,0.3382,0.3420,0.8627,0.8405,0.8288,0.8391
Model 6,6,0.8278,0.8414,0.9296,0.9271,0.3725,0.3434,0.9098,0.8332,0.7149,0.8410
Model 7,6,0.8493,0.8446,0.9309,0.9283,0.3385,0.3412,0.8503,0.8594,0.8360,0.8122
Model 8,3,0.8461,0.8449,0.9300,0.9269,0.3381,0.3449,0.8497,0.8339,0.8289,0.8492
Model 9,2,0.8469,0.8468,0.9309,0.9281,0.3370,0.3432,0.8605,0.8403,0.8161,0.8444
Model 10,4,0.8414,0.8472,0.9299,0.9276,0.3430,0.3417,0.8757,0.8465,0.7839,0.8362
