Model Number,Number of Hidden Layers,Full Accuracy,Reduced Accuracy,Full AUC,Reduced AUC,Full Loss,Reduced Loss,Full Precision,Reduced Precision,Full Recall,Reduced Recall
Model 1,3,0.7368,0.7290,0.8132,0.8066,0.5329,0.5297,0.6921,0.6825,0.8010,0.8006
Model 2,4,0.7306,0.7012,0.8088,0.8065,0.5205,0.5243,0.7031,0.6815,0.7477,0.6926
Model 3,2,0.7019,0.7314,0.8101,0.8084,0.561,0.5433,0.6491,0.6733,0.8084,0.8413
Model 4,5,0.7386,0.7164,0.8130,0.8095,0.5279,0.5386,0.7122,0.6556,0.7516,0.8455
Model 5,5,0.7351,0.7147,0.8048,0.8065,0.5382,0.5398,0.7017,0.6740,0.7668,0.7705
Model 6,6,0.7351,0.7311,0.8143,0.8027,0.5351,0.5374,0.7299,0.7283,0.7006,0.6903
Model 7,6,0.7322,0.7259,0.8118,0.7947,0.5275,0.5435,0.698,0.7092,0.7668,0.7139
Model 8,3,0.7333,0.7293,0.7967,0.8132,0.5429,0.5678,0.7341,0.6716,0.6868,0.8401
Model 9,2,0.7114,0.7523,0.7799,0.8255,0.5903,0.5203,0.6806,0.7088,0.7374,0.8109
Model 10,4,0.6893,0.7163,0.8079,0.7901,0.6626,0.5752,0.6127,0.6555,0.935,0.8451
,,,,,,,,,,,
,,,,,,,,,,,
